Data,Temp M1,Temp Random
2016/04/17 17:42:21,20.56,19
2016/04/17 17:47:22,20.56,17
2016/04/17 17:52:23,20.56,21
2016/04/17 17:57:24,20.56,17
2016/04/17 18:02:25,20.56,19
2016/04/17 18:07:26,20.56,20
2016/04/17 18:12:27,20.56,20
2016/04/17 18:17:28,20.56,19
2016/04/17 18:22:29,20.56,18
2016/04/17 18:27:30,20.56,17
2016/04/17 18:32:31,20.50,20
2016/04/17 18:37:32,20.56,22
2016/04/17 18:42:33,20.56,19
2016/04/17 18:47:34,20.56,17
2016/04/17 18:52:35,20.56,17
2016/04/17 18:57:36,20.63,18
2016/04/17 19:02:37,20.63,19
2016/04/17 19:07:38,20.63,21
2016/04/17 19:12:39,20.69,19
2016/04/17 19:17:40,20.69,17
2016/04/17 19:22:41,20.69,17
2016/04/17 19:27:42,20.69,20
2016/04/17 19:32:43,20.69,19
2016/04/17 19:37:44,20.75,22
2016/04/17 19:42:45,20.75,21
2016/04/17 19:47:46,20.75,19
2016/04/17 19:52:47,20.75,17
2016/04/17 19:57:48,20.75,20
2016/04/17 20:02:49,20.75,20
2016/04/17 20:07:50,20.81,22
2016/04/17 20:12:51,20.81,22
2016/04/17 20:17:52,20.81,22
2016/04/17 20:22:53,20.81,22
2016/04/17 20:27:54,20.81,18
2016/04/17 20:32:55,20.88,21
2016/04/17 20:37:56,20.81,22
2016/04/17 20:42:57,20.88,20
2016/04/17 20:47:58,20.88,22
2016/04/17 20:52:59,20.88,18
2016/04/17 20:58:00,20.88,18
2016/04/17 21:03:01,20.88,17
2016/04/17 21:08:02,20.88,20
2016/04/17 21:13:03,20.94,18
2016/04/17 21:18:04,20.94,18
2016/04/17 21:23:05,20.94,22
2016/04/17 21:28:06,20.94,17
2016/04/17 21:33:07,20.88,19
2016/04/17 21:38:08,20.88,18
2016/04/17 21:43:09,20.88,17
2016/04/17 21:48:10,20.81,22
2016/04/17 21:53:11,20.81,20
2016/04/17 21:58:12,20.81,20
2016/04/17 22:03:13,20.81,20
2016/04/17 22:08:14,20.81,21
2016/04/17 22:13:15,20.75,18
2016/04/17 22:18:16,20.75,17
2016/04/17 22:23:17,20.75,21
2016/04/17 22:28:18,20.75,22
2016/04/17 22:33:19,20.75,18
2016/04/17 22:38:20,20.75,17
2016/04/17 22:43:21,20.75,17
2016/04/17 22:48:22,20.75,17
2016/04/17 22:53:23,20.75,21
2016/04/17 22:58:24,20.75,19
2016/04/17 23:03:25,20.75,18
2016/04/17 23:08:26,20.69,18
2016/04/17 23:13:27,20.69,17
2016/04/17 23:18:28,20.69,20
